Date,Open,High,Low,Close,Volume,Adj Close
2012-01-02,7.9032,7.9032,7.9032,7.8883,0,7.8883
2012-01-03,7.867000000000001,7.9029,7.867000000000001,7.9032,0,7.9032
2012-01-04,7.9075,7.9359,7.9075,7.9029,0,7.9029
2012-01-05,7.9672,7.9672,7.9302,7.9359,0,7.9359
2012-01-06,7.9655,7.9655,7.923999999999999,7.9302,0,7.9302
2012-01-09,7.9238,7.9238,7.9238,7.9764,0,7.9764
2012-01-10,7.9325,7.9325,7.9325,7.9238,0,7.9238
2012-01-11,7.9352,7.9352,7.9352,7.9325,0,7.9325
2012-01-12,7.9296,7.9296,7.9296,7.9352,0,7.9352
2012-01-13,7.9163,7.9163,7.9163,7.8857,0,7.8857
2012-01-16,7.9094,7.9094,7.9094,7.9763,0,7.9763
2012-01-17,7.9419,7.9419,7.9419,7.9094,0,7.9094
2012-01-18,7.9427,7.9427,7.9427,7.9419,0,7.9419
2012-01-19,7.9368,7.9368,7.9368,7.9427,0,7.9427
2012-01-20,7.9368,7.9368,7.9368,7.9427,0,7.9427
2012-01-23,7.9323,7.9323,7.9125,7.8977,0,7.8977
2012-01-24,7.9179,7.9179,7.9179,7.9125,0,7.9125
2012-01-25,7.9234,7.9234,7.9234,7.9179,0,7.9179
2012-01-26,7.9276,7.9276,7.9276,7.9234,0,7.9234
2012-01-27,7.9276,7.9276,7.9274,7.8976,0,7.8976
2012-01-30,7.9241,7.9241,7.9241,7.8777,0,7.8777
2012-01-31,7.9133,7.9207,7.9133,7.8976,0,7.8976
2012-02-01,7.9133,7.9207,7.9133,7.9207,0,7.9207
2012-02-02,7.9495,7.9495,7.9495,7.9376,0,7.9376
2012-02-03,7.9345,7.9345,7.9345,7.9495,0,7.9495
2012-02-06,7.9262,7.9262,7.9262,7.9359,0,7.9359
2012-02-07,7.9291,7.9291,7.9291,7.9262,0,7.9262
2012-02-08,7.928,7.928,7.928,7.9291,0,7.9291
2012-02-09,7.9242,7.9242,7.9242,7.9388,0,7.9388
2012-02-10,7.9249,7.9249,7.9249,7.9242,0,7.9242
2012-02-13,7.9233,7.925,7.9233,7.9468,0,7.9468
